"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
23,"Campo Grande",21000,NA,1890,4000,1350,7000,27000,37000,31000,NA,2401305,890.89,9730,10.92,98,0.621,"11.9",39566073.09,35142709.97,10877.1,"RN"
24,"Campo Redondo",4200,NA,410,1057,270,410,1520,62100,8050,NA,2402105,213.727,10215,47.79,96.1,0.626,"36.04",56009447.35,53731783.17,9413.69,"RN"
25,"Canguaretama",4000,NA,240,450,150,100,500,2000,1000,NA,2402204,245.485,29668,120.85,97.6,0.579,"12.08",147443788.07,137101041.8,17397.55,"RN"
26,"Caraúbas",20585,NA,1800,8175,1935,30000,12500,66885,35230,NA,2402303,1095.803,19727,18,98.7,0.638,"9.01",111493664.2,100465802.2,18149.44,"RN"
27,"Carnaúba dos Dantas",4307,NA,315,1320,330,1773,428,17710,9960,1000,2402402,246.308,7992,32.45,97.8,0.659,"-",40570878.42,37233576.4,14267.01,"RN"
28,"Carnaubais",7103,NA,350,2200,498,1980,8140,15500,1706,NA,2402501,517.737,9714,18.76,97.5,0.589,"12.99",72215697.63,65846914.8,19226.26,"RN"
29,"Ceará-Mirim",26082,NA,1164,3695,900,2111,1368,451152,360000,NA,2402600,724.838,79115,109.15,95.5,0.616,"7.74",298450458.61,270881490.9,13494.44,"RN"
30,"Cerro Corá",5029,NA,335,884,333,3465,2630,15230,12150,NA,2402709,393.573,11000,27.95,98.1,0.607,"-",52236826.6,49902308.8,12557,"RN"
31,"Coronel Ezequiel",3306,NA,250,1850,450,1000,700,85100,4690,NA,2402808,185.748,5117,27.55,99,0.587,"15.87",30910734.01,27697098.79,9545.02,"RN"
32,"Coronel João Pessoa",2250,NA,78,592,122,200,500,5600,2800,NA,2402907,117.139,4237,36.17,96,0.578,"85.11",33622828.02,34025838.01,9794.12,"RN"
33,"Cruzeta",13034,NA,420,4055,1013,1225,5170,9950,8457,NA,2403004,295.83,8005,27.06,99.3,0.654,"15.87",48973481.63,46717214.18,15454.6,"RN"
34,"Currais Novos",15207,NA,910,4159,1265,4872,11088,48028,38420,NA,2403103,864.349,41313,47.8,97.8,0.691,"8.95",158226108.47,144096286.9,17863.07,"RN"
35,"Doutor Severiano",6391,NA,168,6500,1620,290,3000,25200,8480,NA,2403202,113.737,7044,61.93,97.6,0.621,"11.36",52171014.63,42095351.89,11114.41,"RN"
36,"Encanto",4000,NA,200,3100,1000,1600,4050,17000,5000,NA,2403301,125.749,6016,47.84,97.5,0.629,"-",36541675.41,32135926.77,10934.35,"RN"
37,"Equador",1790,NA,80,1452,334,2000,900,11200,7840,NA,2403400,264.985,5360,20.23,98.9,0.623,"-",35307022.47,31174373.56,13518.66,"RN"
38,"Espírito Santo",5000,NA,200,700,350,85,800,6000,3500,NA,2403509,135.838,10620,78.18,95.5,0.558,"11.36",47932461.69,46800971.17,9326.78,"RN"
39,"Extremoz",1850,50,269,1760,528,362,253,29500,24300,NA,2403608,140.639,61635,438.25,96.6,0.66,"14.01",199939978.99,193621710.6,19480.39,"RN"
40,"Felipe Guerra",3000,NA,210,2100,400,13100,2800,6000,4000,NA,2403707,268.591,5944,22.13,99.2,0.636,"-",57596787.22,52263214.16,28927.71,"RN"
41,"Fernando Pedroza",2720,NA,420,848,50,6338,7000,6100,1118,NA,2403756,322.628,2938,9.11,95.3,0.597,"-",33118827.32,28926237.35,12680.91,"RN"
42,"Florânia",12331,NA,551,5121,1700,1943,6601,29058,18568,NA,2403806,507.892,10196,20.08,97.7,0.642,"9.71",40155472.65,36612404.43,12330.46,"RN"
43,"Francisco Dantas",5500,NA,180,900,100,300,400,2300,800,NA,2403905,181.558,2700,14.87,97.8,0.606,"68.97",24363351.84,23030486.51,11695.31,"RN"
44,"Frutuoso Gomes",2200,NA,131,1000,140,550,1064,1870,450,NA,2404002,63.279,4122,65.14,98.3,0.597,"-",26857711.09,23517175.13,11186.02,"RN"
45,"Galinhos",450,NA,112,200,70,150,300,850,500,NA,2404101,340.769,2104,6.17,99.5,0.564,"34.48",45051203.93,41538207.38,56016.95,"RN"
46,"Goianinha",8300,NA,520,1500,260,340,1600,7300,5000,NA,2404200,192.279,26741,139.07,98.1,0.638,"11.93",152024500.74,143013566.3,20240.57,"RN"
47,"Governador Dix-Sept Rosado",3950,NA,510,3480,1015,24200,8790,650000,550000,29500,2404309,1129.55,11938,10.57,96.7,0.592,"8.7",80269495.62,72783013.16,29451.9,"RN"
48,"Grossos",620,NA,300,550,270,4928,2093,3100,1850,NA,2404408,124.538,9924,79.69,97.8,0.664,"20.62",62107565.87,55816824.62,15018.53,"RN"
49,"Guamaré",1800,NA,375,400,200,1000,3000,3800,2900,NA,2404507,258.307,15295,59.21,96.8,0.626,"7.81",287112207.04,287092360.3,125585.4,"RN"
50,"Ielmo Marinho",13100,NA,1025,1050,320,550,4700,95500,76820,NA,2404606,312.028,11615,37.22,95.8,0.55,"7.25",70133438.94,61211031.08,10027.88,"RN"
51,"Ipanguaçu",7000,NA,1300,2700,650,3600,9500,25600,5650,NA,2404705,374.245,14131,37.76,97.6,0.603,"18.18",64380855.59,60107699.06,12469.1,"RN"
52,"Ipueira",3900,NA,160,700,168,540,900,12400,7200,NA,2404804,127.348,2035,15.98,98.1,0.679,"-",26262732.02,22222795.46,15428.38,"RN"
53,"Itajá",3512,NA,150,1650,195,3100,4800,4550,1480,NA,2404853,203.624,7292,35.81,98,0.624,"14.49",48143827.38,40487330.9,13014.65,"RN"
54,"Itaú",5300,NA,480,4000,1000,8000,12000,10000,6500,NA,2404903,133.031,5320,39.99,98.4,0.614,"-",35541608.91,34149867.95,12471.65,"RN"
