"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
382,"Tomazina",54203,215,613,5000,1000,500,870,1200000,15500,NA,4127809,591.438,8426,14.25,98.4,0.699,"-",55201564.89,44866033.78,42105.95,"PR"
383,"Três Barras do Paraná",44996,NA,634,87527,1306,125,1062,2520520,19200,210,4127858,505.505,11135,22.03,98.3,0.681,"13.25",83248326.12,74192542.12,36223.55,"PR"
384,"Tunas do Paraná",1426,46,18,4,1,9,122,4050,2315,NA,4127882,668.478,6219,9.3,97.4,0.611,"9.71",52106543.39,43348656.51,15551.33,"PR"
385,"Tuneiras do Oeste",37374,69,735,1283,140,40,1057,1300000,59563,NA,4127908,698.871,8067,11.54,97.7,0.695,"11.24",61637730.85,51058364,27492.5,"PR"
386,"Tupãssi",2564,8,36,32945,2250,75,834,2130789,58412,NA,4127957,299.769,8077,26.94,98.5,0.73,"24.69",67170849.76,56317765.67,53232.85,"PR"
387,"Turvo",38260,90,1420,3800,546,610,6150,50500,15168,NA,4127965,938.966,14231,15.16,97.5,0.672,"9.66",108689261.13,86419090.98,46362.98,"PR"
388,"Ubiratã",13938,NA,227,343,48,144,496,5300000,53500,NA,4128005,652.581,24749,37.92,97.7,0.739,"6.73",172558552.13,147372834.3,82368.19,"PR"
389,"Umuarama",947801,280,15047,57175,8564,2787,27463,15905668,332309,NA,4128104,1234.537,117095,94.85,97.9,0.761,"9.25",698923922.38,677540115.1,36183.64,"PR"
390,"União da Vitória",61943,575,4175,34731,3391,2379,16355,291600,107820,3970,4128203,719.998,55033,76.43,98.2,0.74,"14.65",299346614.59,322486527.4,33607.71,"PR"
391,"Uniflor",5783,NA,151,500,50,15,315,552000,1100,NA,4128302,94.819,2136,22.53,98.3,0.72,"55.56",33170497.87,29010226.62,38081.98,"PR"
392,"Uraí",6762,NA,219,240,78,5,778,174000,350,NA,4128401,237.81,10406,43.76,98.6,0.721,"-",61027963.19,54217214.7,32748.89,"PR"
393,"Ventania",10064,199,584,848,235,130,1800,24000,4800,NA,4128534,819.334,9681,11.82,95.7,0.65,"-",71076991.16,60716510.11,28338.49,"PR"
394,"Vera Cruz do Oeste",18307,30,390,14620,1900,245,1800,1703655,6900,180,4128559,327.09,8215,25.12,97.7,0.699,"-",57457591.41,49544334.85,40663.64,"PR"
395,"Verê",15261,NA,203,2450,356,176,1388,3524000,19940,400,4128609,311.801,7932,25.44,98.1,0.72,"-",72807640.92,56481200.4,70446.49,"PR"
396,"Virmond",11820,5,166,12298,2400,1200,388,31900,4560,NA,4128658,249.094,3811,15.3,99.5,0.722,"-",36632020.53,37883890.63,46837.97,"PR"
397,"Vitorino",9080,NA,142,6745,471,107,1430,196486,20027,821,4128708,308.218,9706,31.49,97.4,0.702,"7.94",66537191.09,62558887.74,72445.13,"PR"
398,"Wenceslau Braz",262867,1094,4691,38815,5472,1270,3735,10842301,104117,NA,4128500,397.916,19188,48.22,98.2,0.687,"7.41",106314847.42,98817957.22,36742.11,"PR"
399,"Xambrê",48548,4,800,1000,215,195,910,137770,4400,NA,4128807,359.712,5798,16.12,98.6,0.706,"14.49",48862197.36,40837562.92,21426.52,"PR"
