"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
13,"Aroazes",6449,NA,255,2168,324,8201,10245,13356,2005,NA,2200905,821.212,5369,6.54,98.9,0.583,"18.18",38930299.03,37477947.02,9847.89,"PI"
14,"Aroeiras do Itaim",3187,NA,122,2438,488,709,4512,18673,4669,NA,2200954,316.235,2690,8.51,94.2,0.519,"-",21395105.57,19247974.93,9652.94,"PI"
15,"Arraial",3333,NA,216,2980,534,3470,3536,16295,4133,NA,2201002,682.727,4520,6.62,97.7,0.56,"21.74",36865124.46,31510481.38,10380.26,"PI"
16,"Assunção do Piauí",4305,NA,119,1869,282,14705,10811,19554,4303,NA,2201051,1690.703,7452,4.41,97.9,0.499,"38.46",44574781.75,42568865.81,8156.68,"PI"
17,"Avelino Lopes",11012,NA,446,3549,503,14304,7510,31169,10961,NA,2201101,1220.371,10866,8.9,97.2,0.554,"6.8",57831866.88,56291295.97,8590.91,"PI"
18,"Baixa Grande do Ribeiro",13456,NA,277,2636,315,250,406,43487,10896,NA,2201150,7808.915,13272,1.7,96.4,0.564,"11.54",148712832.2,132371359.8,150504.56,"PI"
19,"Barra D'Alcântara",2138,NA,46,809,109,2725,3059,14215,3629,NA,2201176,263.943,3995,15.14,96,0.577,"95.24",35981020.45,31901210.73,9856.65,"PI"
20,"Barras",15484,NA,900,18942,3393,15367,5355,96506,27986,NA,2201200,1722.507,47938,27.83,97.5,0.595,"11.29",214662144.45,209929909.8,10520.51,"PI"
21,"Barreiras do Piauí",4627,NA,175,636,115,1098,246,6976,1745,NA,2201309,2168.713,3264,1.51,98.5,0.557,"-",29613000.61,25510163.49,48620.97,"PI"
22,"Barro Duro",1807,NA,55,827,167,1178,412,13585,1873,NA,2201408,159.436,6640,41.65,96.9,0.612,"-",41668869.44,38082461.01,12792.63,"PI"
23,"Batalha",15033,NA,378,25006,4251,41860,10859,165865,48100,NA,2201507,1589.01,26300,16.55,99.2,0.545,"32.97",105928097.17,103037970.8,9305.89,"PI"
24,"Bela Vista do Piauí",5737,NA,428,2341,469,11776,15718,10656,4059,NA,2201556,499.092,4091,8.2,97.6,0.576,"18.52",25756960.42,22844335.75,11591.5,"PI"
25,"Belém do Piauí",1939,NA,160,1375,279,1675,7661,10389,2597,NA,2201572,243.234,3423,14.07,97,0.551,"28.57",35658014.96,29860532.88,11440.06,"PI"
26,"Beneditinos",4675,NA,285,8598,1121,12660,8428,24360,7038,NA,2201606,937.098,9929,10.6,97.2,0.557,"9.35",53256736.68,51244129.77,8769.43,"PI"
27,"Bertolínia",59294,4,1212,12899,2000,14198,14744,141332,46058,NA,2201705,1216.116,5562,4.57,97.6,0.612,"-",33250204.6,30618237.71,13091.16,"PI"
28,"Betânia do Piauí",2534,NA,128,1461,290,3372,22473,14445,4284,NA,2201739,579.576,6220,10.73,97,0.489,"35.4",40808032.08,37864544.52,10067.79,"PI"
